dimensie/0/_name,dimensie/0/__text,dimensie/1/_name,dimensie/1/__text,dimensie/2/_name,dimensie/2/__text,dimensie/3/_name,dimensie/3/__text
aantal,"41282051,06",jaar,1996,netwerk,gewestwegen,voertuigtype,speciaal voertuig
aantal,"94418381,26",jaar,1996,netwerk,gemeentewegen,voertuigtype,speciaal voertuig
aantal,"743798234,1",jaar,1996,netwerk,snelwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,710039749,jaar,1996,netwerk,gewestwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"196116047,3",jaar,1996,netwerk,gemeentewegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,1391353107,jaar,1996,netwerk,snelwegen,voertuigtype,trekker met oplegger
aantal,"584174960,4",jaar,1996,netwerk,gewestwegen,voertuigtype,trekker met oplegger
aantal,"58810181,91",jaar,1996,netwerk,gemeentewegen,voertuigtype,trekker met oplegger
aantal,"383911630,5",jaar,1996,netwerk,snelwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,144767945,jaar,1996,netwerk,gewestwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"16012485,71",jaar,1996,netwerk,gemeentewegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"93071973,26",jaar,1997,netwerk,snelwegen,voertuigtype,motor
aantal,"286545708,2",jaar,1997,netwerk,gewestwegen,voertuigtype,motor
aantal,171483494,jaar,1997,netwerk,gemeentewegen,voertuigtype,motor
aantal,12868872274,jaar,1997,netwerk,snelwegen,voertuigtype,personenwagen
aantal,17378262053,jaar,1997,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,9488684751,jaar,1997,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,1198610118,jaar,1997,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,1559927573,jaar,1997,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"816605187,3",jaar,1997,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"114772407,1",jaar,1997,netwerk,snelwegen,voertuigtype,bus
aantal,"160873372,1",jaar,1997,netwerk,gewestwegen,voertuigtype,bus
aantal,"63458421,74",jaar,1997,netwerk,gemeentewegen,voertuigtype,bus
